chateau,region_x,classification,year,score,price_usd,vintage_score,biodynamic,source,appellation,region_y,regional_vintage_score
Cos d'Estournel,St-Estephe,2,2024,94.0,123.0,93,0,WineSearcher,Saint-Estephe,Saint-Estephe,93.0
Ducru-Beaucaillou,St-Julien,2,2000,94.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Ducru-Beaucaillou,St-Julien,2,2001,93.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Ducru-Beaucaillou,St-Julien,2,2002,90.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Ducru-Beaucaillou,St-Julien,2,2003,94.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Ducru-Beaucaillou,St-Julien,2,2004,92.0,,92,0,IEEE,Saint-Julien,Saint-Julien,93.0
Ducru-Beaucaillou,St-Julien,2,2005,96.0,,93,0,IEEE,Saint-Julien,Saint-Julien,93.0
Ducru-Beaucaillou,St-Julien,2,2006,95.0,,92,0,IEEE,Saint-Julien,Saint-Julien,94.0
Ducru-Beaucaillou,St-Julien,2,2007,90.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Ducru-Beaucaillou,St-Julien,2,2008,92.0,,92,0,IEEE,Saint-Julien,Saint-Julien,94.0
Ducru-Beaucaillou,St-Julien,2,2009,96.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Ducru-Beaucaillou,St-Julien,2,2010,97.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Ducru-Beaucaillou,St-Julien,2,2011,94.0,,92,0,IEEE,Saint-Julien,Saint-Julien,93.0
Ducru-Beaucaillou,St-Julien,2,2012,93.0,,92,0,IEEE,Saint-Julien,Saint-Julien,92.0
Ducru-Beaucaillou,St-Julien,2,2013,92.0,,91,0,IEEE,Saint-Julien,Saint-Julien,92.0
Ducru-Beaucaillou,St-Julien,2,2014,95.0,,94,0,IEEE,Saint-Julien,Saint-Julien,94.0
Ducru-Beaucaillou,St-Julien,2,2015,97.0,,94,0,IEEE,Saint-Julien,Saint-Julien,95.0
Ducru-Beaucaillou,St-Julien,2,2016,97.0,,96,0,IEEE,Saint-Julien,Saint-Julien,95.0
Ducru-Beaucaillou,St-Julien,2,2017,95.0,221.0,94,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
Ducru-Beaucaillou,St-Julien,2,2018,96.0,262.0,96,0,WineSearcher,Saint-Julien,Saint-Julien,97.0
Ducru-Beaucaillou,St-Julien,2,2019,96.0,252.0,96,0,WineSearcher,Saint-Julien,Saint-Julien,97.0
Ducru-Beaucaillou,St-Julien,2,2020,96.0,276.0,95,0,WineSearcher,Saint-Julien,Saint-Julien,96.0
Ducru-Beaucaillou,St-Julien,2,2021,94.0,218.0,94,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
Ducru-Beaucaillou,St-Julien,2,2022,96.0,280.0,96,0,WineSearcher,Saint-Julien,Saint-Julien,96.0
Ducru-Beaucaillou,St-Julien,2,2023,95.0,200.0,95,0,WineSearcher,Saint-Julien,Saint-Julien,97.0
Ducru-Beaucaillou,St-Julien,2,2024,95.0,116.0,93,0,WineSearcher,Saint-Julien,Saint-Julien,95.0
Duhart-Milon,Pauillac,4,2000,93.0,,93,0,IEEE,Pauillac,Pauillac,92.0
Duhart-Milon,Pauillac,4,2001,89.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Duhart-Milon,Pauillac,4,2002,88.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Duhart-Milon,Pauillac,4,2003,92.0,,93,0,IEEE,Pauillac,Pauillac,92.0
Duhart-Milon,Pauillac,4,2004,87.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Duhart-Milon,Pauillac,4,2005,93.0,,93,0,IEEE,Pauillac,Pauillac,93.0
Duhart-Milon,Pauillac,4,2006,89.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Duhart-Milon,Pauillac,4,2007,87.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Duhart-Milon,Pauillac,4,2008,89.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Duhart-Milon,Pauillac,4,2009,92.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Duhart-Milon,Pauillac,4,2010,91.0,,94,0,IEEE,Pauillac,Pauillac,94.0
Duhart-Milon,Pauillac,4,2011,89.0,,92,0,IEEE,Pauillac,Pauillac,91.0
Duhart-Milon,Pauillac,4,2012,90.0,,92,0,IEEE,Pauillac,Pauillac,92.0
Duhart-Milon,Pauillac,4,2013,88.0,,91,0,IEEE,Pauillac,Pauillac,91.0
Duhart-Milon,Pauillac,4,2014,90.0,,94,0,IEEE,Pauillac,Pauillac,93.0
Duhart-Milon,Pauillac,4,2015,91.0,,94,0,IEEE,Pauillac,Pauillac,95.0
Duhart-Milon,Pauillac,4,2016,93.0,,96,0,IEEE,Pauillac,Pauillac,96.0
Duhart-Milon,Pauillac,4,2017,91.0,102.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Duhart-Milon,Pauillac,4,2018,93.0,115.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Duhart-Milon,Pauillac,4,2019,93.0,112.0,96,0,WineSearcher,Pauillac,Pauillac,95.0
Duhart-Milon,Pauillac,4,2020,92.0,111.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
Duhart-Milon,Pauillac,4,2021,91.0,83.0,94,0,WineSearcher,Pauillac,Pauillac,93.0
Duhart-Milon,Pauillac,4,2022,93.0,95.0,96,0,WineSearcher,Pauillac,Pauillac,96.0
Duhart-Milon,Pauillac,4,2023,93.0,96.0,95,0,WineSearcher,Pauillac,Pauillac,95.0
